season,comp,competition_type,Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HxG,AxG,elo_h,elo_a,elo_diff,xelo_h,xelo_a,xelo_diff,elo_h_s,elo_a_s,elo_diff_s,xelo_h_s,xelo_a_s,xelo_diff_s,fh_pts,fh_gf,fh_ga,fh_xgf,fh_xga,fa_pts,fa_gf,fa_ga,fa_xgf,fa_xga,all_h_pts,all_a_pts,all_h_xgd,all_a_xgd,days_rest_h,days_rest_a,h2h_h_pts,promoted_h,promoted_a,value_log_ratio,age_gap,h_momentum,a_momentum,elo_exp_h,xelo_exp_h,h_att,a_att,form_pts_gap,mkt_pH,mkt_pD,mkt_pA
2020-21,Bundesliga,league,2020-09-19,Ein Frankfurt,Bielefeld,D,1.0,1.0,2.46928,0.618787,1509.8559911353561,1493.2204588019174,81.63553233343873,1509.8559911353561,1493.2204588019174,81.63553233343873,1509.8559911353561,1493.2204588019174,81.63553233343873,1509.8559911353561,1493.2204588019174,81.63553233343873,,,,,,,,,,,,,,,7.0,5.0,,,,1.5124281759936942,1.2458504790343845,,,0.6153676377951816,0.6153676377951816,,,,0.5780869340421886,0.22764759932448952,0.194265466633322
2020-21,La Liga,league,2020-09-19,Villarreal,Eibar,H,2.0,1.0,2.99286,1.112,1500.0,1500.0,65.0,1508.8167324193341,1494.818576312978,78.99815610635619,1500.0,1500.0,65.0,1508.8167324193341,1494.818576312978,78.99815610635619,,,,,,,,,,,,,,,6.0,7.0,,,,1.193369916854003,-0.20033523097214,,,0.5924662305843318,0.6117679798025559,,,,0.5970926336409094,0.23588844785813703,0.16701891850095368
2020-21,Premier League,league,2020-09-20,Newcastle,Brighton,A,0.0,3.0,0.520678,1.8766,1521.9976669822693,1500.8484061130468,86.14926086922242,1514.9021248178726,1517.201114282917,62.701010534955685,1521.9976669822693,1500.8484061130468,86.14926086922242,1514.9021248178726,1517.201114282917,62.701010534955685,,,,,,,,,,,,,,,5.0,3.0,,,,-0.1486831976451249,1.3783627639457166,,,0.6214988641659853,0.5892670017318961,,,,0.356996455354344,0.30373031757131486,0.3392732270743411
2020-21,Bundesliga,league,2020-09-20,RB Leipzig,Mainz,H,3.0,1.0,3.22891,1.07201,1519.7119822707123,1522.8849027201443,61.82707955056799,1519.7119822707123,1522.8849027201443,61.82707955056799,1519.7119822707123,1522.8849027201443,61.82707955056799,1519.7119822707123,1522.8849027201443,61.82707955056799,,,,,,,,,,,,,,,8.0,9.0,,,,1.4523460540160258,-0.772815087197614,,,0.5880488575025831,0.5880488575025831,,,,0.6979990693345741,0.17449976733364353,0.1275011633317822
2020-21,Bundesliga,league,2020-09-20,Wolfsburg,Leverkusen,D,0.0,0.0,1.27652,0.441229,1541.3348061094391,1529.5679734060686,76.76683270337048,1541.3348061094391,1529.5679734060686,76.76683270337048,1541.3348061094391,1529.5679734060686,76.76683270337048,1541.3348061094391,1529.5679734060686,76.76683270337048,,,,,,,,,,,,,,,3.0,7.0,,,,-0.2336148511815052,0.1141494703871615,,,0.6087129584037146,0.6087129584037146,,,,0.3300965506347859,0.27731948585306143,0.39258396351215274
2020-21,La Liga,league,2020-09-20,Huesca,Cadiz,A,0.0,2.0,0.223846,1.50522,1500.0,1484.3786236430203,80.62137635697968,1491.1832675806659,1499.5472653538297,56.636002226836126,1500.0,1484.3786236430203,80.62137635697968,1491.1832675806659,1499.5472653538297,56.636002226836126,,,,,,,,,,,,,,,7.0,8.0,,,,0.2566293491101957,-0.702065628506368,,,0.6139849240089563,0.5807914068077109,,,,0.43965674639401137,0.3169618404235896,0.24338141318239914
2020-21,La Liga,league,2020-09-20,Betis,Valladolid,H,2.0,0.0,1.76775,0.290702,1509.8559911353561,1500.0,74.85599113535613,1494.0616162962085,1504.2639413421437,54.79767495406486,1509.8559911353561,1500.0,74.85599113535613,1494.0616162962085,1504.2639413421437,54.79767495406486,,,,,,,,,,,,,,,7.0,7.0,,,,1.2883359673113064,-0.26951776509440606,,,0.6060899260342131,0.5782127336986859,,,,0.5106755082707861,0.2712963637688552,0.2180281279603585
2020-21,La Liga,league,2020-09-20,Granada,Alaves,H,2.0,1.0,2.45453,0.77021,1532.9417930983109,1490.1440088646439,107.79778423366702,1523.433886224912,1505.9383837037915,82.49550252112044,1532.9417930983109,1490.1440088646439,107.79778423366702,1523.433886224912,1505.9383837037915,82.49550252112044,,,,,,,,,,,,,,,3.0,7.0,,,,0.4431698571324037,-1.2402222024269527,,,0.6503399723255325,0.616538675074901,,,,0.4594901134556783,0.3113157771947267,0.22919410934959494
2020-21,La Liga,league,2020-09-20,Sociedad,Real Madrid,D,0.0,0.0,0.718119,0.769069,1500.0,1500.0,65.0,1495.7360586578563,1500.0,60.73605865785635,1500.0,1500.0,65.0,1495.7360586578563,1500.0,60.73605865785635,,,,,,,,,,,,,,,7.0,,,,,-0.5999133985946842,-2.918403514856351,,,0.5924662305843318,0.5865266050486695,,,,0.20551902157212218,0.2514903816606232,0.5429905967672547
2020-21,Premier League,league,2020-09-20,Southampton,Tottenham,A,2.0,5.0,2.27708,2.28004,1477.8956255871592,1500.1816687503153,42.71395683684386,1483.2105678277803,1504.718908689334,43.491659138446266,1477.8956255871592,1500.1816687503153,42.71395683684386,1483.2105678277803,1504.718908689334,43.491659138446266,,,,,,,,,,,,,,,4.0,3.0,,,,-0.8782896136955413,-0.531401903094185,,,0.5611624903678658,0.5622646432303743,,,,0.3092729291237365,0.28619285978614417,0.4045342110901194
