player_key,player,squad,src_league,pos,season,age,n_real_seasons,forecast_1y_eur,forecast_2y_eur
brian behrendt,Brian Behrendt,Arminia,GER1,DF,2020-21,28.0,1,927234.0,960744.0
brian brobbey,Brian Brobbey,Sunderland,ENG1,FW,2026-27,24.0,3,27177752.0,21739711.0
brian ocampo,Brian Ocampo,Cádiz,ESP1,MF,2023-24,24.0,1,1803195.0,2108229.0
brian oddei,Brian Oddei,Sassuolo,ITA1,MF,2021-22,19.0,2,1708094.0,2307592.0
brian olivan,Brian Oliván,Espanyol,ESP1,DF,2024-25,30.0,3,1520128.0,1283584.0
brice samba,Brice Samba,Rennes,FRA1,GK,2026-27,32.0,5,4267507.0,2856590.0
bridge ndilu,Bridge Ndilu,Nantes,FRA1,MF,2020-21,20.0,1,1291846.0,1788640.0
bruno alves,Bruno Alves,Parma Calcio 1913,ITA1,DF,2020-21,39.0,1,165442.0,84897.0
bruno amione,Bruno Amione,Verona,ITA1,DF,2023-24,21.0,2,3390780.0,3911072.0
bruno ecuele manga,Bruno Ecuele Manga,Dijon,FRA1,DF,2020-21,32.0,1,1092524.0,834210.0
bruno fernandes,Bruno Fernandes,Manchester Utd,ENG1,MF,2026-27,32.0,7,17676878.0,9109806.0
bruno gonzalez,Bruno González,Valladolid,ESP1,DF,2020-21,30.0,1,1219708.0,1064494.0
bruno guimaraes,Bruno Guimarães,Arsenal,ENG1,MF,2026-27,29.0,8,35355671.0,20382095.0
bruno langa,Bruno Langa,Almería,ESP1,DF,2023-24,25.0,1,2355541.0,2487455.0
bruno mendez,Bruno Méndez,Granada,ESP1,DF,2023-24,23.0,1,5686132.0,5706597.0
bruno peres,Bruno Peres,Roma,ITA1,DF,2020-21,30.0,1,2246721.0,1789133.0
bryan cristante,Bryan Cristante,Roma,ITA1,MF,2026-27,31.0,7,5205566.0,3480589.0
bryan dabo,Bryan Dabo,Benevento,ITA1,MF,2020-21,28.0,1,1726688.0,1665917.0
bryan gil,Bryan Gil,Girona,ESP1,MF,2025-26,24.0,9,14747332.0,12580209.0
bryan lasme,Bryan Lasme,Arminia,GER1,FW,2021-22,22.0,1,2049718.0,2561648.0
bryan mbeumo,Bryan Mbeumo,Manchester Utd,ENG1,MF,2026-27,27.0,6,37673841.0,24235907.0
bryan reynolds,Bryan Reynolds,Rennes,FRA1,MF,2026-27,25.0,3,4438206.0,4345919.0
bryan zaragoza,Bryan Zaragoza,Roma,ITA1,MF,2025-26,24.0,5,9608430.0,8740494.0
buba sangare,Buba Sangaré,Elche,ESP1,DF,2026-27,19.0,2,5906769.0,6537333.0
budu zivzivadze,Budu Zivzivadze,Heidenheim,GER1,FW,2025-26,31.0,2,1360420.0,1202702.0
bukayo saka,Bukayo Saka,Arsenal,ENG1,MF,2026-27,25.0,7,93458337.0,57940284.0
burak ince,Burak İnce,Arminia,GER1,FW,2021-22,17.0,1,2452392.0,3187199.0
burak yilmaz,Burak Yilmaz,Lille,FRA1,FW,2021-22,36.0,2,1039595.0,649881.0
burgui,Burgui,Alavés,ESP1,FW,2020-21,26.0,1,1581441.0,1794721.0
cafu,Cafú,Nottingham,ENG1,MF,2022-23,29.0,1,1105688.0,1071880.0
caglar soyuncu,Çağlar Söyüncü,Atlético Madrid,ESP1,DF,2023-24,27.0,4,16405642.0,11704997.0
caio henrique,Caio Henrique,Monaco,FRA1,DF,2025-26,28.0,6,10311204.0,7444056.0
cala,Cala,Cádiz,ESP1,DF,2022-23,32.0,3,677918.0,556045.0
calderon,Calderón,Real Betis,ESP1,DF,2021-22,21.0,1,600000.0,800000.0
caleb ekuban,Caleb Ekuban,Genoa,ITA1,FW,2025-26,31.0,4,1163488.0,1053013.0
caleb kporha,Caleb Kporha,Crystal Palace,ENG1,DF,2024-25,18.0,1,1954783.0,2588738.0
caleb okoli,Caleb Okoli,Leicester City,ENG1,DF,2024-25,23.0,3,8061176.0,7677529.0
caleb watts,Caleb Watts,Southampton,ENG1,MF,2020-21,18.0,1,750000.0,1000000.0
calebe,Calebe,Alavés,ESP1,MF,2025-26,25.0,1,2744077.0,2887967.0
callum hudson odoi,Callum Hudson-Odoi,Nottingham,ENG1,FW,2026-27,26.0,7,23833760.0,18005927.0
callum marshall,Callum Marshall,West Ham,ENG1,FW,2025-26,20.0,1,3234845.0,3930056.0
callum olusesi,Callum Olusesi,Tottenham,ENG1,MF,2025-26,18.0,1,5777796.0,6582529.0
callum robinson,Callum Robinson,West Brom,ENG1,FW,2020-21,25.0,1,6325164.0,6072863.0
callum wilson,Callum Wilson,Brentford,ENG1,FW,2026-27,34.0,7,3113682.0,1954204.0
calum chambers,Calum Chambers,Aston Villa,ENG1,MF,2023-24,28.0,5,5653044.0,4565218.0
calvin bassey,Calvin Bassey,Fulham,ENG1,DF,2026-27,27.0,4,17248010.0,12213924.0
calvin brackelmann,Calvin Brackelmann,Augsburg,GER1,DF,2026-27,27.0,1,3454067.0,3113208.0
calvin stengs,Calvin Stengs,Pisa,ITA1,MF,2025-26,27.0,3,7112471.0,5875472.0
cameron archer,Cameron Archer,Auxerre,FRA1,FW,2026-27,25.0,6,8971604.0,8173763.0
cameron burgess,Cameron Burgess,Ipswich Town,ENG1,DF,2024-25,28.0,1,2336483.0,2107535.0
cameron puertas,Cameron Puertas,Werder Bremen,GER1,MF,2025-26,26.0,1,6434016.0,5684336.0
can bozdogan,Can Bozdogan,Schalke 04,GER1,MF,2020-21,19.0,1,3728482.0,4480498.0
can uzun,Can Uzun,Frankfurt,GER1,MF,2026-27,21.0,3,35651199.0,29347264.0
caoimhin kelleher,Caoimhín Kelleher,Brentford,ENG1,GK,2026-27,28.0,7,14523633.0,10350848.0
