league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,src_league
ENG-Premier League,2020-21,Aston Villa,Emiliano Martinez,1,2020,71,4401,GK,38,3420,0,0.0,0,0.0,0,0.12292340397834778,0,2,1,0,3.7309096455574036,3.6079864501953125,ENG1
ENG-Premier League,2020-21,Aston Villa,Ezri Konsa Ngoyo,1,2020,71,7726,D S,36,3192,2,3.2915586698800325,2,3.2915586698800325,0,0.0931767001748085,22,2,3,0,3.4295510537922382,3.381944954395294,ENG1
ENG-Premier League,2020-21,Aston Villa,Jack Grealish,1,2020,71,675,F M S,26,2187,6,5.1926843244582415,6,5.1926843244582415,10,9.334138981997967,50,81,5,0,17.487467363476753,6.972044946625829,ENG1
ENG-Premier League,2020-21,Aston Villa,Jacob Ramsey,1,2020,71,8941,M S,22,593,0,0.5745481103658676,0,0.5745481103658676,0,0.21190819889307022,11,6,0,0,2.2276439275592566,1.694883331656456,ENG1
ENG-Premier League,2020-21,Aston Villa,Jaden Philogene-Bidace,1,2020,71,9415,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.056043900549411774,0.056043900549411774,ENG1
ENG-Premier League,2020-21,Aston Villa,John McGinn,1,2020,71,7723,M,37,3330,3,2.166595708578825,3,2.166595708578825,5,3.501758733764291,45,42,12,0,14.868273419328034,9.94562083017081,ENG1
ENG-Premier League,2020-21,Aston Villa,Keinan Davis,1,2020,71,1053,F S,15,240,1,1.268774088472128,1,1.268774088472128,1,0.6846188846975565,9,6,0,0,1.9646081924438477,0.3350831884890795,ENG1
ENG-Premier League,2020-21,Aston Villa,Kortney Hause,1,2020,71,6859,D,7,630,1,1.3037526831030846,1,1.3037526831030846,0,0.0,5,0,2,0,1.8043759763240814,1.8043759763240814,ENG1
ENG-Premier League,2020-21,Aston Villa,Marvelous Nakamba,1,2020,71,8040,M S,13,757,0,0.033083499409258366,0,0.033083499409258366,0,0.05933390185236931,2,2,3,0,0.8930104114115238,0.8114348081871867,ENG1
ENG-Premier League,2020-21,Aston Villa,Matt Targett,1,2020,71,884,D,38,3407,0,0.2803047075867653,0,0.2803047075867653,2,2.7996690925210714,6,39,7,0,9.610855117440224,8.203314462676644,ENG1
ENG-Premier League,2020-21,Aston Villa,Matthew Cash,1,2020,71,8864,D,28,2389,0,0.2478914987295866,0,0.2478914987295866,2,1.9056626800447702,9,21,6,1,6.591604145243764,5.0334585746750236,ENG1
ENG-Premier League,2020-21,Aston Villa,Morgan Sanson,1,2020,71,3696,M S,9,291,0,0.026357199996709824,0,0.026357199996709824,0,0.10845199972391129,2,1,3,0,0.30181339383125305,0.19336139410734177,ENG1
ENG-Premier League,2020-21,Aston Villa,Neil Taylor,1,2020,71,710,S,1,13,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,ENG1
ENG-Premier League,2020-21,Aston Villa,Ollie Watkins,1,2020,71,8865,F,37,3330,14,16.280176680535078,13,14.75783659145236,5,5.314029790461063,98,45,2,1,22.014022789895535,5.334985261783004,ENG1
ENG-Premier League,2020-21,Aston Villa,Ross Barkley,1,2020,71,592,M S,26,1574,3,3.69993400759995,3,3.69993400759995,1,4.319001067429781,39,40,0,0,9.89690613374114,3.7172500621527433,ENG1
ENG-Premier League,2020-21,Aston Villa,Trézéguet,1,2020,71,7722,F M S,21,1175,2,3.9790338948369026,2,3.9790338948369026,1,2.1475658286362886,35,13,0,0,7.027214404195547,1.9039336424320936,ENG1
ENG-Premier League,2020-21,Aston Villa,Tyrone Mings,1,2020,71,1024,D,36,3194,2,2.061613383702934,2,2.061613383702934,2,0.37627119943499565,19,7,4,1,6.932440020143986,6.708538971841335,ENG1
ENG-Premier League,2020-21,Aston Villa,Wesley,1,2020,71,7724,S,3,14,0,0.0328821986913681,0,0.0328821986913681,0,0.0,1,0,0,0,0.11823540180921555,0.08535320311784744,ENG1
ENG-Premier League,2020-21,Brighton,Aaron Connolly,1,2020,220,7991,F M S,17,799,2,4.464138314127922,2,4.464138314127922,1,0.1607838999480009,23,6,0,0,4.7834921311587095,0.19122500717639923,ENG1
ENG-Premier League,2020-21,Brighton,Adam Lallana,1,2020,220,486,F M S,30,1572,1,1.6143054887652397,1,1.6143054887652397,1,2.6287574097514153,22,25,0,0,9.719970086589456,5.874308593571186,ENG1
ENG-Premier League,2020-21,Brighton,Adam Webster,1,2020,220,7699,D,29,2596,1,1.2729560993611813,1,1.2729560993611813,0,0.2532154992222786,25,5,4,0,7.724679803475738,7.582416407763958,ENG1
ENG-Premier League,2020-21,Brighton,Alexis Mac Allister,1,2020,220,8379,F M S,21,1110,1,1.3531396118924022,1,1.3531396118924022,1,1.8708692993968725,24,15,1,0,5.655094686895609,3.2666636938229203,ENG1
ENG-Premier League,2020-21,Brighton,Alireza Jahanbakhsh,1,2020,220,6842,D F M S,21,512,0,1.8732202108949423,0,1.8732202108949423,1,3.2342997156083584,18,10,3,0,5.389567317441106,2.52194850333035,ENG1
ENG-Premier League,2020-21,Brighton,Andi Zeqiri,1,2020,220,9099,S,9,138,0,1.0259477235376835,0,1.0259477235376835,0,0.11249300092458725,7,1,0,0,0.8297761119902134,0.4852749928832054,ENG1
ENG-Premier League,2020-21,Brighton,Ben White,1,2020,220,7298,D M,36,3208,0,0.4792186003178358,0,0.4792186003178358,0,0.9432324860244989,10,8,3,1,8.348604042083025,7.907714944332838,ENG1
ENG-Premier League,2020-21,Brighton,Bernardo,1,2020,220,5245,D M S,3,201,0,0.31766799092292786,0,0.31766799092292786,0,0.17365099489688873,4,2,0,0,0.2732999920845032,0.09216470271348953,ENG1
ENG-Premier League,2020-21,Brighton,Dan Burn,1,2020,220,7382,D M S,27,2059,1,1.0781692042946815,1,1.0781692042946815,0,0.977860301733017,17,10,5,0,4.978818798437715,4.176192915067077,ENG1
ENG-Premier League,2020-21,Brighton,Danny Welbeck,1,2020,220,501,F M S,24,1551,6,7.38038232550025,6,6.619250323623419,1,3.2313683964312077,35,22,0,0,10.265666393563151,1.4765126965939999,ENG1
ENG-Premier League,2020-21,Brighton,Davy Pröpper,1,2020,220,6050,M S,7,201,0,0.13856259733438492,0,0.13856259733438492,0,0.0,4,0,0,0,0.2699490040540695,0.1942277029156685,ENG1
ENG-Premier League,2020-21,Brighton,Jakub Moder,1,2020,220,9284,D M S,12,643,0,0.9168103076517582,0,0.9168103076517582,0,0.20512420311570168,13,3,0,0,1.8570118844509125,1.186261996626854,ENG1
ENG-Premier League,2020-21,Brighton,Jayson Molumby,1,2020,220,6350,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,ENG1
ENG-Premier League,2020-21,Brighton,José Izquierdo,1,2020,220,6231,S,1,7,0,0.016806799918413162,0,0.016806799918413162,0,0.0,1,0,0,0,0.06661350280046463,0.04980669915676117,ENG1
ENG-Premier League,2020-21,Brighton,Joël Veltman,1,2020,220,8780,D M S,28,2281,1,1.275618426501751,1,1.275618426501751,1,1.8462191317230463,14,22,3,0,9.022528225556016,6.800672544166446,ENG1
ENG-Premier League,2020-21,Brighton,Leandro Trossard,1,2020,220,7698,F M S,35,2647,5,5.41275604814291,5,5.41275604814291,5,5.398416018113494,58,51,2,0,15.99893388338387,7.631561153568327,ENG1
