season,comp,Date,match,outcome,model_p,mkt_p,odds,won,edge,odds_bucket,flat_stake_2pct,kelly_stake
2024-25,Ligue 1,2024-08-25,Nice vs Toulouse,H,0.4777,0.5146670107219536,1.85,0,-0.03696701072195363,1.5-2.0,0.0,0.0
2024-25,Ligue 1,2024-08-25,Strasbourg vs Rennes,H,0.3455,0.3056272506684389,3.12,1,0.0398727493315611,3.0-5.0,1.0,0.009193396226415098
2024-25,Ligue 1,2024-08-25,Nantes vs Auxerre,H,0.4099,0.41676769341227154,2.28,1,-0.006867693412271558,2.0-3.0,0.0,0.0
2024-25,Ligue 1,2024-08-25,Lens vs Brest,H,0.5083,0.5323392233766975,1.79,1,-0.024039223376697505,1.5-2.0,0.0,0.0
2024-25,La Liga,2024-08-25,Ath Madrid vs Girona,H,0.5461,0.5966496235694719,1.6,1,-0.0505496235694719,1.5-2.0,0.0,0.0
2024-25,La Liga,2024-08-25,Alaves vs Betis,H,0.32,0.3973150528420451,2.4,0,-0.0773150528420451,2.0-3.0,0.0,0.0
2024-25,La Liga,2024-08-25,Leganes vs Las Palmas,H,0.4128,0.41753528502319087,2.29,1,-0.004735285023190872,2.0-3.0,0.0,0.0
2024-25,La Liga,2024-08-25,Real Madrid vs Valladolid,H,0.8352,0.816919493448919,1.17,1,0.018280506551081044,1.0-1.5 (fav),0.0,0.0
2024-25,Bundesliga,2024-08-25,Wolfsburg vs Bayern Munich,H,0.1754,0.15126958173786217,6.32,0,0.024130418262137826,5.0+ (longshot),1.0,0.005099999999999998
2024-25,Ligue 1,2024-08-25,Marseille vs Reims,H,0.6522,0.615020336081808,1.55,0,0.03717966391819205,1.5-2.0,1.0,0.004959090909090897
2024-25,La Liga,2024-08-26,Villarreal vs Celta,H,0.5291,0.48457810718358035,1.96,1,0.04452189281641966,1.5-2.0,1.0,0.009644791666666685
2024-25,Serie A,2024-08-26,Verona vs Juventus,H,0.1825,0.1888644877922749,5.06,0,-0.006364487792274914,5.0+ (longshot),0.0,0.0
2024-25,La Liga,2024-08-27,Mallorca vs Sevilla,H,0.4007,0.39774345535360506,2.41,0,0.002956544646394943,2.0-3.0,0.0,0.0
2024-25,La Liga,2024-08-27,Vallecano vs Barcelona,H,0.1644,0.17984930729079524,5.33,0,-0.015449307290795244,5.0+ (longshot),0.0,0.0
2024-25,La Liga,2024-08-28,Sociedad vs Alaves,H,0.5245,0.5611095783903087,1.71,0,-0.03660957839030876,1.5-2.0,0.0,0.0
2024-25,La Liga,2024-08-28,Ath Madrid vs Espanol,H,0.6689,0.7377292961389605,1.3,0,-0.0688292961389605,1.0-1.5 (fav),0.0,0.0
2024-25,La Liga,2024-08-28,Valladolid vs Leganes,H,0.3737,0.4134266399637823,2.32,0,-0.03972663996378234,2.0-3.0,0.0,0.0
2024-25,La Liga,2024-08-28,Ath Bilbao vs Valencia,H,0.5005,0.5915185290962001,1.62,1,-0.09101852909620012,1.5-2.0,0.0,0.0
2024-25,La Liga,2024-08-29,Las Palmas vs Real Madrid,H,0.0968,0.1193599200664753,8.01,0,-0.02255992006647531,5.0+ (longshot),0.0,0.0
2024-25,La Liga,2024-08-29,Girona vs Osasuna,H,0.5382,0.5491534184786455,1.73,1,-0.010953418478645505,1.5-2.0,0.0,0.0
2024-25,Bundesliga,2024-08-30,Union Berlin vs St Pauli,H,0.4435,0.4946196281413881,1.94,1,-0.051119628141388096,1.5-2.0,0.0,0.0
2024-25,Ligue 1,2024-08-30,Lyon vs Strasbourg,H,0.4455,0.5091137649277184,1.88,1,-0.06361376492771842,1.5-2.0,0.0,0.0
2024-25,Serie A,2024-08-30,Venezia vs Torino,H,0.2521,0.2722443559096946,3.52,0,-0.0201443559096946,3.0-5.0,0.0,0.0
2024-25,Serie A,2024-08-30,Inter vs Atalanta,H,0.5098,0.6066426349017752,1.58,1,-0.09684263490177514,1.5-2.0,0.0,0.0
2024-25,Premier League,2024-08-31,Everton vs Bournemouth,H,0.4068,0.34590033859424474,2.78,0,0.06089966140575526,2.0-3.0,1.0,0.018385393258426957
2024-25,Premier League,2024-08-31,Ipswich vs Fulham,H,0.337,0.3098175965665236,3.1,0,0.027182403433476443,3.0-5.0,1.0,0.005321428571428593
2024-25,Premier League,2024-08-31,Leicester vs Aston Villa,H,0.396,0.20814140332083558,4.62,0,0.18785859667916444,3.0-5.0,1.0,0.05
2024-25,Premier League,2024-08-31,Nott'm Forest vs Wolves,H,0.5053,0.4737519637708657,2.03,0,0.03154803622913427,2.0-3.0,1.0,0.006252184466019386
2024-25,Bundesliga,2024-08-31,Bochum vs M'gladbach,H,0.5322,0.3658360894451888,2.62,0,0.1663639105548112,2.0-3.0,1.0,0.05
2024-25,Serie A,2024-08-31,Bologna vs Empoli,H,0.5762,0.5792204657897911,1.65,0,-0.0030204657897910936,1.5-2.0,0.0,0.0
2024-25,Serie A,2024-08-31,Lecce vs Cagliari,H,0.4556,0.41962357297130515,2.28,1,0.03597642702869486,2.0-3.0,1.0,0.007571874999999984
2024-25,Serie A,2024-08-31,Lazio vs Milan,H,0.3536,0.3311578343503561,2.89,0,0.022442165649643908,2.0-3.0,1.0,0.0028973544973545165
2024-25,Premier League,2024-08-31,Brentford vs Southampton,H,0.539,0.5426805160095993,1.77,1,-0.0036805160095992884,1.5-2.0,0.0,0.0
2024-25,Premier League,2024-08-31,West Ham vs Man City,H,0.1541,0.12715563902581475,7.57,0,0.026944360974185233,5.0+ (longshot),1.0,0.006337024353120241
2024-25,Premier League,2024-08-31,Arsenal vs Brighton,H,0.5827,0.7117553932962332,1.35,0,-0.12905539329623317,1.0-1.5 (fav),0.0,0.0
2024-25,Ligue 1,2024-08-31,Montpellier vs Nantes,H,0.3754,0.4184396061744883,2.28,0,-0.043039606174488265,2.0-3.0,0.0,0.0
2024-25,Ligue 1,2024-08-31,Brest vs St Etienne,H,0.5099,0.5245719094940602,1.82,1,-0.014671909494060165,1.5-2.0,0.0,0.0
2024-25,La Liga,2024-08-31,Valencia vs Villarreal,H,0.3827,0.3374103008236417,2.84,0,0.04528969917635828,2.0-3.0,1.0,0.011802717391304342
2024-25,La Liga,2024-08-31,Leganes vs Mallorca,H,0.289,0.37514538218702287,2.56,0,-0.08614538218702289,2.0-3.0,0.0,0.0
2024-25,La Liga,2024-08-31,Espanol vs Vallecano,H,0.3874,0.34526035355764373,2.78,1,0.04213964644235629,2.0-3.0,1.0,0.010810674157303378
2024-25,La Liga,2024-08-31,Ath Bilbao vs Ath Madrid,H,0.3309,0.3184834346391251,3.01,0,0.012416565360874932,3.0-5.0,0.0,0.0
2024-25,La Liga,2024-08-31,Barcelona vs Valladolid,H,0.7784,0.7689623778692152,1.25,1,0.009437622130784806,1.0-1.5 (fav),0.0,0.0
2024-25,Bundesliga,2024-08-31,Leverkusen vs RB Leipzig,H,0.4076,0.532133676092545,1.8,0,-0.12453367609254501,1.5-2.0,0.0,0.0
2024-25,Bundesliga,2024-08-31,Werder Bremen vs Dortmund,H,0.2498,0.24265096110284126,3.94,0,0.007149038897158733,3.0-5.0,0.0,0.0
2024-25,Bundesliga,2024-08-31,Stuttgart vs Mainz,H,0.5447,0.5821276781953736,1.65,0,-0.037427678195373626,1.5-2.0,0.0,0.0
2024-25,Serie A,2024-08-31,Napoli vs Parma,H,0.6875,0.6435353064203067,1.49,1,0.04396469357969335,1.0-1.5 (fav),1.0,0.012436224489795937
2024-25,Bundesliga,2024-08-31,Ein Frankfurt vs Hoffenheim,H,0.5374,0.5283080709894891,1.81,1,0.009091929010510924,1.5-2.0,0.0,0.0
2024-25,Ligue 1,2024-08-31,Toulouse vs Marseille,H,0.3001,0.2433660150870486,3.93,0,0.05673398491295137,3.0-5.0,1.0,0.0153065699658703
2024-25,Bundesliga,2024-09-01,Heidenheim vs Augsburg,H,0.4249,0.39936012704047086,2.4,1,0.025539872959529142,2.0-3.0,1.0,0.0035285714285714287
2024-25,Premier League,2024-09-01,Newcastle vs Tottenham,H,0.4623,0.38274427100005654,2.51,1,0.07955572899994345,2.0-3.0,1.0,0.026551821192052964
2024-25,La Liga,2024-09-01,Alaves vs Las Palmas,H,0.4937,0.4886985772392607,1.96,1,0.005001422760739338,1.5-2.0,0.0,0.0
2024-25,Serie A,2024-09-01,Juventus vs Roma,H,0.5919,0.5410675175245405,1.77,0,0.05083248247545946,1.5-2.0,1.0,0.015475000000000003
2024-25,Serie A,2024-09-01,Genoa vs Verona,H,0.5019,0.47137106945051355,2.03,0,0.030528930549486466,2.0-3.0,1.0,0.004576941747572793
2024-25,Serie A,2024-09-01,Fiorentina vs Monza,H,0.6335,0.5650204613362705,1.69,0,0.06847953866372947,1.5-2.0,1.0,0.025585144927536187
2024-25,Premier League,2024-09-01,Man United vs Liverpool,H,0.2578,0.25161102295910104,3.82,0,0.006188977040898935,3.0-5.0,0.0,0.0
2024-25,Premier League,2024-09-01,Chelsea vs Crystal Palace,H,0.5173,0.5896908429925393,1.63,0,-0.07239084299253928,1.5-2.0,0.0,0.0
2024-25,Bundesliga,2024-09-01,Bayern Munich vs Freiburg,H,0.6337,0.7934165330588018,1.21,1,-0.15971653305880174,1.0-1.5 (fav),0.0,0.0
2024-25,Ligue 1,2024-09-01,Reims vs Rennes,H,0.2812,0.32621064609938044,2.92,1,-0.045010646099380436,2.0-3.0,0.0,0.0
2024-25,Ligue 1,2024-09-01,Le Havre vs Auxerre,H,0.3947,0.3450960311396121,2.77,1,0.04960396886038787,2.0-3.0,1.0,0.013180649717514115
